epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.34044,0.98329,2.9043,2.7596,1.3504,0.01795,0.94828,0.60707,0.49497,0.01822,0.98276,0.60792,0.47828,0.69436,1.28177,2.76472,1.11536,0.0003,0.0003,0.0003
2,7.94244,0.74965,1.07049,1.37035,1.16795,0.79165,0.69112,0.81047,0.59583,0.78635,0.6825,0.82867,0.61921,0.96285,1.62279,1.81911,1.53164,0.000606436,0.000606436,0.000606436
3,11.5989,0.73801,1.00304,1.01564,1.15033,0.7903,0.85779,0.90747,0.66289,0.7903,0.85779,0.90781,0.62735,1.015,1.72183,1.87269,1.47123,0.000906685,0.000906685,0.000906685
4,15.2286,0.71271,0.932,0.90651,1.13496,0.86993,0.77217,0.8674,0.73911,0.86512,0.77333,0.88113,0.74395,0.75593,1.12538,1.10825,1.14426,0.00120075,0.00120075,0.00120075
5,18.8707,0.70271,0.93892,0.8755,1.11947,0.69079,0.91126,0.92196,0.69013,0.69079,0.91126,0.92271,0.74165,0.8602,1.03552,1.08258,1.24428,0.0012005,0.0012005,0.0012005
6,22.5933,0.65465,0.86189,0.84258,1.08056,0.86592,0.7656,0.82989,0.64439,0.8287,0.73115,0.78279,0.53888,0.77266,2.49177,1.48157,1.13278,0.00118812,0.00118812,0.00118812
7,26.3133,0.66535,0.87932,0.81883,1.09526,0.89588,0.96134,0.96483,0.74793,0.89588,0.96134,0.96007,0.81784,0.8352,0.73269,1.10489,1.1389,0.00117575,0.00117575,0.00117575
8,30.1011,0.67805,0.86362,0.80855,1.11745,0.91486,0.93895,0.9681,0.80677,0.91689,0.91686,0.96385,0.84764,0.74604,0.77887,0.93528,1.11907,0.00116337,0.00116337,0.00116337
9,33.8601,0.66296,0.78424,0.74394,1.08956,0.826,0.79328,0.90125,0.73368,0.826,0.79328,0.89535,0.74317,0.70267,1.39133,1.18188,1.05118,0.001151,0.001151,0.001151
10,37.5908,0.64889,0.81444,0.71303,1.08119,0.8716,0.88985,0.96886,0.81117,0.8716,0.88985,0.96886,0.77722,0.68329,1.34541,0.95739,1.03332,0.00113863,0.00113863,0.00113863
